Tahun,Provinsi,Kelompok Ikan,Hasil Tangkapan / Catch (Ton),Nilai (Rp. Juta),Effort (kapal),CPUE (Ton/Trip),C_MSY,E_MSY,TP_C,TP_E,Status
2021,DAERAH ISTIMEWA YOGYAKARTA,MARLIN,20.19,606,1254,0.01610047846889952,5145.194892289755,308283.3112478088,0.3924049607966335,0.4067686943299993,Underfishing
2021,DAERAH ISTIMEWA YOGYAKARTA,TENGGIRI,47.62,2081,1254,0.03797448165869218,45836.05364986922,323124.1115375772,0.1038920155817906,0.3880861734622264,Underfishing
2021,DKI JAKARTA,TONGKOL,3907.94,92656,5954,0.6563553913335572,140680.4809856748,369573.9649557874,2.777883593103394,1.611044219717232,Underfishing
2021,DKI JAKARTA,TUNA,19469.84,358233,5954,3.270043668122271,103635.2116050751,292761.4244455092,18.78689655615712,2.033737884448708,Underfishing
2021,DKI JAKARTA,CAKALANG,38063.7,517026,5954,6.392962714141753,119279.7606260097,287853.9638280055,31.91128134415451,2.068409939825442,Underfishing
2021,DKI JAKARTA,MARLIN,155.14,4560,5954,0.02605643265031911,5145.194892289755,308283.3112478088,3.015240496185721,1.931340355694431,Underfishing
2021,DKI JAKARTA,TENGGIRI,1494.69,55092,5954,0.2510396372186765,45836.05364986922,323124.1115375772,3.260948273203413,1.842635627427509,Underfishing
2021,GORONTALO,TONGKOL,14779.19,277582,13754,1.074537589064999,140680.4809856748,369573.9649557874,10.50550147145497,3.721582498822775,Underfishing
2021,GORONTALO,TUNA,18212.44,812363,13754,1.324155881925258,103635.2116050751,292761.4244455092,17.57360236731366,4.698023322591119,Underfishing
2021,GORONTALO,CAKALANG,10118.16,194716,13754,0.7356521739130435,119279.7606260097,287853.9638280055,8.482713200376486,4.77811728457493,Underfishing
2021,GORONTALO,MARLIN,0.07,2,13754,5.089428529882217e-06,5145.194892289755,308283.3112478088,0.001360492682306307,4.461480559660934,Underfishing
2021,GORONTALO,TENGGIRI,1379.07,36830,13754,0.1002668314672095,45836.05364986922,323124.1115375772,3.008701426467448,4.256568763795424,Underfishing
2021,JAMBI,TENGGIRI,914.31,25240,12820,0.07131903276131045,45836.05364986922,323124.1115375772,1.994739789302539,3.967515744645728,Underfishing
2021,JAWA BARAT,TONGKOL,40625.47,364432,29728,1.366572591496233,140680.4809856748,369573.9649557874,28.87782989890176,8.043856661698666,Underfishing
2021,JAWA BARAT,TUNA,1478.29,39090,29728,0.04972719321851453,103635.2116050751,292761.4244455092,1.426436031831875,10.15434326988431,Underfishing
2021,JAWA BARAT,CAKALANG,1273.67,24395,29728,0.04284412002152853,119279.7606260097,287853.9638280055,1.067800600299216,10.32745896727087,Underfishing
2021,JAWA BARAT,MARLIN,131.33,5320,29728,0.004417720667384285,5145.194892289755,308283.3112478088,2.552478628104105,9.643077946604643,Underfishing
